event_id,event_date,event_time,aircraft_registration,operator,event_type,event_classification,event_location,inspection_location,consequences,description
199,2025-11-15,11:15,RA-96969,S7 Airlines,Повреждение ВС,Аэродромно-производственное событие,Перрон 9,Домодедово,Нет,Повреждение обнаружено
200,2025-11-17,17:30,VQ-BDW,C7,Посторонний предмет,АПС,Перрон 2,Внуково,Нет,Обнаружен объект после работ
201,2025-11-19,09:05,RA-97979,Аэрофлот,Нарушение процедуры,Аэродромно-производственное событие,Перрон 4,Шереметьево,Незначительные,Нарушен порядок обслуживания
202,19.11.2025,1440,VQ-BDX,аэрофлот,Повреждение ВС,АПС,Стоянка 10,Шереметьево,Нет,Обнаружено повреждение
203,2025/11/22,18:15,RA-98989,S7 Airlines,Отклонение от регламента,Аэродромно-производственное событие,РД-4,Домодедово,Минимальные,Выявлено отклонение
204,2025-11-24,23:30,VQ-BDY,S7 airlines,Нарушение процедуры,АПС,Перрон 6,Шереметьево,Незначительные,Нарушение процедуры
205,24.11.2025,06:10,RA-99999,Победа,Повреждение ВС,Аэродромно-производственное событие,Перрон 1,Внуково,Нет,Повреждение элемента конструкции
206,2025-11-27,12:55,VQ-BDZ,Победаа,Посторонний предмет,АПС,Стоянка 5,Внуково,Нет,Обнаружен предмет
207,27/11/2025,20:20,RA-11112,Россия,Нарушение процедуры,Аэродромно-производственное событие,Перрон 8,Шереметьево,Минимальные,Нарушение требований
208,2025-11-29,10:45,VQ-BEA,РОССИЯ ,Отклонение от регламента,АПС,Перрон 3,Домодедово,Нет,Несоответствие документации
209,29.11.2025,16.25,RA-12122,Aeroflot,Повреждение ВС,Аэродромно-производственное событие,Перрон 7,Шереметьево,Нет,Повреждение выявлено при осмотре
210,2025-12-01,21:40,VQ-BEB,Аэрофлoт,Посторонний предмет,АПС,РД-2,Шереметьево,Нет,Обнаружен посторонний объект
211,2025-12-03,08:25,RA-13132,S7 Airlines,Нарушение процедуры,Аэродромно-производственное событие,Перрон 10,Домодедово,Незначительные,Нарушение порядка
212,03.12.2025,1545,VQ-BEC,S7,Повреждение ВС,АПС,Перрон 4,Шереметьево,Нет,Обнаружено повреждение
213,2025/12/05,19:10,RA-14142,Победа,Отклонение от регламента,Аэродромно-производственное событие,Стоянка 9,Внуково,Минимальные,Выявлено отклонение
214,2025-12-07,07:35,VQ-BED,победа,Посторонний предмет,АПС,Перрон 12,Внуково,Нет,Обнаружен объект
215,07.12.2025,13:50,RA-15152,Уральские авиалинии,Повреждение ВС,Аэродромно-производственное событие,Перрон 6,Домодедово,Нет,Повреждение поверхности
216,2025-12-10,18:05,VQ-BEE,Уральские авиалинии ,Нарушение процедуры,АПС,Перрон 2,Шереметьево,Незначительные,Нарушение регламента
217,2025-12-12,22:35,RA-16162,Аэрофлот,Отклонение от регламента,Аэродромно-производственное событие,Стоянка 4,Шереметьево,Минимальные,Несоответствие требованиям
218,12.12.2025,0645,VQ-BEF,АЭРОФЛОТ,Повреждение ВС,АПС,Перрон 5,Шереметьево,Нет,Обнаружено повреждение
219,2025-12-15,11:20,RA-17172,S7 Airlines,Посторонний предмет,Аэродромно-производственное событие,Перрон 8,Домодедово,Нет,Обнаружен предмет
220,2025-12-17,17:45,VQ-BEG,C7,Нарушение процедуры,АПС,Перрон 3,Внуково,Незначительные,Нарушение порядка
221,2025-12-19,09:15,RA-18182,Аэрофлот,Повреждение ВС,Аэродромно-производственное событие,Перрон 7,Шереметьево,Нет,Повреждение выявлено
222,19.12.2025,1435,VQ-BEH,аэрофлот,Нарушение процедуры,АПС,Стоянка 8,Шереметьево,Минимальные,Нарушение контроля
223,2025/12/22,18:20,RA-19192,S7 Airlines,Отклонение от регламента,Аэродромно-производственное событие,РД-5,Домодедово,Нет,Отклонение от инструкции
224,2025-12-24,23:05,VQ-BEI,S7 airlines,Повреждение ВС,АПС,Перрон 9,Шереметьево,Нет,Повреждение конструкции
225,24.12.2025,06:30,RA-20202,Победа,Посторонний предмет,Аэродромно-производственное событие,Перрон 1,Внуково,Нет,Обнаружен объект
226,2025-12-27,12:15,VQ-BEJ,Победаа,Нарушение процедуры,АПС,Перрон 6,Внуково,Незначительные,Нарушение процедуры
227,27/12/2025,20:00,RA-21222,Россия,Повреждение ВС,Аэродромно-производственное событие,Стоянка 11,Шереметьево,Нет,Выявлено повреждение
228,2025-12-29,10:35,VQ-BEK,РОССИЯ ,Отклонение от регламента,АПС,Перрон 4,Домодедово,Минимальные,Выявлено несоответствие
229,29.12.2025,16.15,RA-22232,Aeroflot,Нарушение процедуры,Аэродромно-производственное событие,Перрон 10,Шереметьево,Незначительные,Нарушен порядок
230,2026-01-01,21:50,VQ-BEL,Аэрофлoт,Повреждение ВС,АПС,Стоянка 3,Шереметьево,Нет,Обнаружено повреждение
231,2026-01-03,08:15,RA-23232,S7 Airlines,Посторонний предмет,Аэродромно-производственное событие,Перрон 5,Домодедово,Нет,Обнаружен предмет возле воздушного судна
232,03.01.2026,1455,VQ-BEM,S7,Нарушение процедуры,АПС,Стоянка 7,Шереметьево,Минимальные,Нарушен порядок выполнения работ
233,2026/01/05,19:30,RA-24242,Победа,Повреждение ВС,Аэродромно-производственное событие,Перрон 8,Внуково,Нет,Обнаружено повреждение панели
234,2026-01-07,06:45,VQ-BEN,победа,Отклонение от регламента,АПС,Перрон 2,Внуково,Минимальные,Выявлено отклонение от требований
235,07.01.2026,13:20,RA-25252,Уральские авиалинии,Посторонний предмет,Аэродромно-производственное событие,РД-1,Домодедово,Нет,Обнаружен посторонний объект
236,2026-01-10,18:35,VQ-BEO,Уральские авиалинии ,Повреждение ВС,АПС,Перрон 11,Шереметьево,Нет,Выявлено повреждение обшивки
237,2026-01-12,22:10,RA-26262,Аэрофлот,Нарушение процедуры,Аэродромно-производственное событие,Стоянка 6,Шереметьево,Незначительные,Нарушена последовательность действий
238,12.01.2026,0640,VQ-BEP,АЭРОФЛОТ,Отклонение от регламента,АПС,Перрон 4,Шереметьево,Минимальные,Несоответствие документации
239,2026-01-15,11:35,RA-27272,S7 Airlines,Повреждение ВС,Аэродромно-производственное событие,Перрон 9,Домодедово,Нет,Повреждение обнаружено после обслуживания
240,2026-01-17,17:25,VQ-BEQ,C7,Посторонний предмет,АПС,Перрон 3,Внуково,Нет,Обнаружен инструмент после работ
241,2026-01-19,09:40,RA-28282,Аэрофлот,Нарушение процедуры,Аэродромно-производственное событие,Перрон 7,Шереметьево,Минимальные,Нарушены требования проверки
242,19.01.2026,1445,VQ-BER,аэрофлот ,Повреждение ВС,АПС,Стоянка 10,Шереметьево,Нет,Обнаружено повреждение элемента
243,2026/01/22,18:05,RA-29292,S7 Airlines,Отклонение от регламента,Аэродромно-производственное событие,РД-3,Домодедово,Нет,Выявлено отклонение
244,2026-01-24,23:20,VQ-BES,S7 airlines,Нарушение процедуры,АПС,Перрон 6,Шереметьево,Незначительные,Нарушение порядка обслуживания
245,24.01.2026,06:35,RA-30303,Победа,Повреждение ВС,Аэродромно-производственное событие,Перрон 1,Внуково,Нет,Повреждение при подготовке рейса
246,2026-01-27,12:50,VQ-BET,Победаа,Посторонний предмет,АПС,Стоянка 5,Внуково,Нет,Обнаружен объект
247,27/01/2026,20:25,RA-31313,Россия,Нарушение процедуры,Аэродромно-производственное событие,Перрон 8,Шереметьево,Минимальные,Нарушены правила безопасности
248,2026-01-29,10:15,VQ-BEU,РОССИЯ ,Повреждение ВС,АПС,Перрон 4,Домодедово,Нет,Обнаружено повреждение
249,29.01.2026,16.40,RA-32323,Aeroflot,Посторонний предмет,Аэродромно-производственное событие,Перрон 10,Шереметьево,Нет,Обнаружен посторонний объект
250,2026-02-01,21:35,VQ-BEV,Аэрофлoт,Отклонение от регламента,АПС,РД-2,Шереметьево,Минимальные,Выявлено нарушение требований
251,2026-02-03,08:25,RA-33333,S7 Airlines,Повреждение ВС,Аэродромно-производственное событие,Перрон 5,Домодедово,Нет,Обнаружено повреждение корпуса
252,03.02.2026,15:05,VQ-BEW,S7,Нарушение процедуры,АПС,Стоянка 8,Шереметьево,Незначительные,Нарушение регламента
253,2026/02/05,19:45,RA-34343,Победа,Посторонний предмет,Аэродромно-производственное событие,Перрон 9,Внуково,Нет,Обнаружен предмет
254,2026-02-07,07:15,VQ-BEX,победа,Повреждение ВС,АПС,Перрон 2,Внуково,Нет,Выявлено повреждение конструкции
255,07.02.2026,13:55,RA-35353,Уральские авиалинии,Отклонение от регламента,Аэродромно-производственное событие,Стоянка 11,Домодедово,Минимальные,Обнаружено несоответствие
256,2026-02-10,18:30,VQ-BEY,Уральские авиалинии ,Нарушение процедуры,АПС,Перрон 3,Шереметьево,Незначительные,Нарушение порядка работ
257,2026-02-12,22:20,RA-36363,Аэрофлот,Повреждение ВС,Аэродромно-производственное событие,Перрон 6,Шереметьево,Нет,Повреждение при обслуживании
258,12.02.2026,0645,VQ-BEZ,АЭРОФЛОТ,Посторонний предмет,АПС,Перрон 4,Шереметьево,Нет,Обнаружен объект
259,2026-02-15,11:30,RA-37373,S7 Airlines,Нарушение процедуры,Аэродромно-производственное событие,РД-4,Домодедово,Минимальные,Нарушен порядок контроля
260,2026-02-17,17:40,VQ-BFA,C7,Повреждение ВС,АПС,Перрон 8,Внуково,Нет,Обнаружено повреждение
261,2026-02-19,09:10,RA-38383,Аэрофлот,Отклонение от регламента,Аэродромно-производственное событие,Стоянка 7,Шереметьево,Минимальные,Выявлено отклонение
262,19.02.2026,14:35,VQ-BFB,аэрофлот,Посторонний предмет,АПС,Перрон 1,Шереметьево,Нет,Обнаружен предмет
263,2026/02/22,18:25,RA-39393,S7 Airlines,Нарушение процедуры,Аэродромно-производственное событие,Перрон 12,Домодедово,Незначительные,Нарушение инструкции
264,2026-02-24,23:15,VQ-BFC,S7 airlines,Повреждение ВС,АПС,Перрон 5,Шереметьево,Нет,Повреждение обнаружено
265,24.02.2026,06:20,RA-40404,Победа,Посторонний предмет,Аэродромно-производственное событие,Стоянка 4,Внуково,Нет,Обнаружен инструмент
266,2026-02-27,12:35,VQ-BFD,Победаа,Нарушение процедуры,АПС,Перрон 7,Внуково,Минимальные,Нарушение порядка работ
267,27/02/2026,20:10,RA-41414,Россия,Повреждение ВС,Аэродромно-производственное событие,Перрон 10,Шереметьево,Нет,Обнаружено повреждение
268,2026-03-01,10:40,VQ-BFE,РОССИЯ ,Отклонение от регламента,АПС,РД-5,Домодедово,Минимальные,Выявлено отклонение
269,01.03.2026,16.25,RA-42424,Aeroflot,Нарушение процедуры,Аэродромно-производственное событие,Перрон 3,Шереметьево,Незначительные,Нарушен порядок
270,2026-03-03,21:50,VQ-BFF,Аэрофлoт,Повреждение ВС,АПС,Перрон 6,Шереметьево,Нет,Повреждение элемента
271,2026-03-05,08:30,RA-43434,S7 Airlines,Посторонний предмет,Аэродромно-производственное событие,Перрон 8,Домодедово,Нет,Обнаружен предмет
272,05.03.2026,15:20,VQ-BFG,S7,Нарушение процедуры,АПС,Стоянка 12,Шереметьево,Минимальные,Нарушение требований
273,2026/03/07,19:35,RA-44444,Победа,Повреждение ВС,Аэродромно-производственное событие,Перрон 2,Внуково,Нет,Повреждение при обслуживании
274,2026-03-09,07:05,VQ-BFH,победа,Отклонение от регламента,АПС,Перрон 9,Внуково,Минимальные,Несоответствие процедуре
275,09.03.2026,13:45,RA-45454,Уральские авиалинии,Посторонний предмет,Аэродромно-производственное событие,РД-1,Домодедово,Нет,Обнаружен объект
276,2026-03-12,18:25,VQ-BFI,Уральские авиалинии ,Повреждение ВС,АПС,Перрон 11,Шереметьево,Нет,Выявлено повреждение
277,2026-03-14,22:40,RA-46464,Аэрофлот,Нарушение процедуры,Аэродромно-производственное событие,Перрон 5,Шереметьево,Незначительные,Нарушение контроля
278,14.03.2026,0640,VQ-BFJ,АЭРОФЛОТ,Отклонение от регламента,АПС,Стоянка 6,Шереметьево,Минимальные,Выявлено несоответствие
279,2026-03-17,11:15,RA-47474,S7 Airlines,Повреждение ВС,Аэродромно-производственное событие,Перрон 4,Домодедово,Нет,Обнаружено повреждение
280,2026-03-19,17:30,VQ-BFK,C7,Посторонний предмет,АПС,Перрон 7,Внуково,Нет,Обнаружен предмет
281,2026-03-21,09:25,RA-48484,Аэрофлот,Нарушение процедуры,Аэродромно-производственное событие,Перрон 9,Шереметьево,Минимальные,Нарушен порядок передачи смены
282,21.03.2026,1440,VQ-BFL,аэрофлот ,Повреждение ВС,АПС,Стоянка 10,Шереметьево,Нет,Обнаружено повреждение при осмотре
283,2026/03/24,18:15,RA-49494,S7 Airlines,Посторонний предмет,Аэродромно-производственное событие,РД-3,Домодедово,Нет,Обнаружен посторонний объект
284,2026-03-26,23:35,VQ-BFM,S7 airlines,Отклонение от регламента,АПС,Перрон 6,Шереметьево,Минимальные,Выявлено нарушение инструкции
285,26.03.2026,06:30,RA-50505,Победа,Повреждение ВС,Аэродромно-производственное событие,Перрон 1,Внуково,Нет,Обнаружено повреждение панели
286,2026-03-29,12:20,VQ-BFN,Победаа,Нарушение процедуры,АПС,Стоянка 5,Внуково,Незначительные,Нарушение порядка выполнения работ
287,29/03/2026,20:05,RA-51515,Россия,Посторонний предмет,Аэродромно-производственное событие,Перрон 8,Шереметьево,Нет,Обнаружен инструмент
288,2026-03-31,10:50,VQ-BFO,РОССИЯ ,Повреждение ВС,АПС,Перрон 4,Домодедово,Нет,Повреждение выявлено после стоянки
289,31.03.2026,16.30,RA-52525,Aeroflot,Нарушение процедуры,Аэродромно-производственное событие,Перрон 10,Шереметьево,Незначительные,Нарушена процедура контроля
290,2026-04-02,21:45,VQ-BFP,Аэрофлoт,Отклонение от регламента,АПС,РД-2,Шереметьево,Минимальные,Выявлено несоответствие
291,2026-04-04,08:20,RA-53535,S7 Airlines,Повреждение ВС,Аэродромно-производственное событие,Перрон 5,Домодедово,Нет,Обнаружено повреждение
292,04.04.2026,15:35,VQ-BFQ,S7,Посторонний предмет,АПС,Перрон 7,Шереметьево,Нет,Обнаружен объект возле ВС
293,2026/04/06,19:25,RA-54545,Победа,Нарушение процедуры,Аэродромно-производственное событие,Стоянка 9,Внуково,Минимальные,Нарушение порядка обслуживания
294,2026-04-08,07:10,VQ-BFR,победа,Повреждение ВС,АПС,Перрон 3,Внуково,Нет,Повреждение элемента конструкции
295,08.04.2026,13:50,RA-55555,Уральские авиалинии,Отклонение от регламента,Аэродромно-производственное событие,Перрон 12,Домодедово,Минимальные,Несоответствие требованиям
296,2026-04-11,18:40,VQ-BFS,Уральские авиалинии ,Посторонний предмет,АПС,Перрон 6,Шереметьево,Нет,Обнаружен предмет
297,2026-04-13,22:15,RA-56565,Аэрофлот,Повреждение ВС,Аэродромно-производственное событие,Стоянка 4,Шереметьево,Нет,Выявлено повреждение корпуса
298,13.04.2026,0645,VQ-BFT,АЭРОФЛОТ,Нарушение процедуры,АПС,Перрон 2,Шереметьево,Незначительные,Нарушен порядок проверки
299,2026-04-16,11:30,RA-57575,S7 Airlines,Посторонний предмет,Аэродромно-производственное событие,РД-4,Домодедово,Нет,Обнаружен посторонний объект
300,2026-04-18,17:55,VQ-BFU,C7,Повреждение ВС,АПС,Перрон 8,Внуково,Нет,Повреждение обнаружено
301,2026-04-20,09:15,RA-58585,Аэрофлот,Нарушение процедуры,Аэродромно-производственное событие,Перрон 10,Шереметьево,Минимальные,Нарушение инструкции
302,20.04.2026,1435,VQ-BFV,аэрофлот,Отклонение от регламента,АПС,Стоянка 7,Шереметьево,Нет,Выявлено отклонение
303,2026/04/23,18:20,RA-59595,S7 Airlines,Повреждение ВС,Аэродромно-производственное событие,Перрон 4,Домодедово,Нет,Обнаружено повреждение
304,2026-04-25,23:05,VQ-BFW,S7 airlines,Посторонний предмет,АПС,Перрон 9,Шереметьево,Нет,Обнаружен объект
305,25.04.2026,06:25,RA-60606,Победа,Нарушение процедуры,Аэродромно-производственное событие,Стоянка 11,Внуково,Незначительные,Нарушение порядка
306,2026-04-28,12:45,VQ-BFX,Победаа,Повреждение ВС,АПС,Перрон 1,Внуково,Нет,Повреждение при обслуживании
307,28/04/2026,20:10,RA-61616,Россия,Отклонение от регламента,Аэродромно-производственное событие,Перрон 6,Шереметьево,Минимальные,Несоответствие требованиям
308,2026-04-30,10:35,VQ-BFY,РОССИЯ ,Посторонний предмет,АПС,Перрон 8,Домодедово,Нет,Обнаружен предмет
309,30.04.2026,16.20,RA-62626,Aeroflot,Нарушение процедуры,Аэродромно-производственное событие,Перрон 3,Шереметьево,Незначительные,Нарушена процедура
310,2026-05-02,21:40,VQ-BFZ,Аэрофлoт,Повреждение ВС,АПС,Стоянка 5,Шереметьево,Нет,Выявлено повреждение
311,2026-05-04,08:30,RA-63636,S7 Airlines,Посторонний предмет,Аэродромно-производственное событие,Перрон 7,Домодедово,Нет,Обнаружен объект
312,04.05.2026,15:10,VQ-BGA,S7,Нарушение процедуры,АПС,РД-5,Шереметьево,Минимальные,Нарушены требования
313,2026/05/06,19:45,RA-64646,Победа,Повреждение ВС,Аэродромно-производственное событие,Перрон 11,Внуково,Нет,Повреждение элемента
314,2026-05-08,07:25,VQ-BGB,победа,Отклонение от регламента,АПС,Перрон 2,Внуково,Минимальные,Выявлено отклонение
315,08.05.2026,13:40,RA-65656,Уральские авиалинии,Посторонний предмет,Аэродромно-производственное событие,Стоянка 8,Домодедово,Нет,Обнаружен предмет
316,2026-05-11,18:50,VQ-BGC,Уральские авиалинии ,Нарушение процедуры,АПС,Перрон 5,Шереметьево,Незначительные,Нарушение порядка
317,2026-05-13,22:30,RA-66666,Аэрофлот,Повреждение ВС,Аэродромно-производственное событие,Перрон 9,Шереметьево,Нет,Обнаружено повреждение
318,13.05.2026,0640,VQ-BGD,АЭРОФЛОТ,Отклонение от регламента,АПС,Стоянка 10,Шереметьево,Минимальные,Несоответствие документации
319,2026-05-16,11:15,RA-67676,S7 Airlines,Посторонний предмет,Аэродромно-производственное событие,РД-1,Домодедово,Нет,Обнаружен объект
320,2026-05-18,17:35,VQ-BGE,C7,Нарушение процедуры,АПС,Перрон 4,Внуково,Незначительные,Нарушение инструкции
321,2026-05-20,09:00,RA-68686,Аэрофлот,Повреждение ВС,Аэродромно-производственное событие,Перрон 6,Шереметьево,Нет,Повреждение обнаружено
322,20.05.2026,1440,VQ-BGF,аэрофлот,Нарушение процедуры,АПС,Стоянка 12,Шереметьево,Минимальные,Нарушение контроля
323,2026/05/23,18:05,RA-69696,S7 Airlines,Отклонение от регламента,Аэродромно-производственное событие,Перрон 8,Домодедово,Нет,Отклонение от требований
324,2026-05-25,23:25,VQ-BGG,S7 airlines,Повреждение ВС,АПС,Перрон 3,Шереметьево,Нет,Повреждение корпуса
325,25.05.2026,06:15,RA-70707,Победа,Посторонний предмет,Аэродромно-производственное событие,Стоянка 5,Внуково,Нет,Обнаружен объект
326,2026-05-28,12:30,VQ-BGH,Победаа,Нарушение процедуры,АПС,Перрон 10,Внуково,Незначительные,Нарушение порядка работ
327,28/05/2026,20:00,RA-71717,Россия,Повреждение ВС,Аэродромно-производственное событие,Перрон 7,Шереметьево,Нет,Обнаружено повреждение
328,2026-05-30,10:45,VQ-BGI,РОССИЯ ,Отклонение от регламента,АПС,РД-2,Домодедово,Минимальные,Выявлено несоответствие
329,30.05.2026,16.35,RA-72727,Aeroflot,Нарушение процедуры,Аэродромно-производственное событие,Перрон 1,Шереметьево,Незначительные,Нарушение процедуры
330,2026-06-01,21:50,VQ-BGJ,Аэрофлoт,Повреждение ВС,АПС,Стоянка 6,Шереметьево,Нет,Обнаружено повреждение
331,2026-06-03,08:15,RA-73737,S7 Airlines,Посторонний предмет,Аэродромно-производственное событие,Перрон 5,Домодедово,Нет,Обнаружен посторонний объект рядом с ВС
332,03.06.2026,14:55,VQ-BGK,S7,Нарушение процедуры,АПС,Стоянка 8,Шереметьево,Минимальные,Нарушен порядок проведения контроля
333,2026/06/05,19:30,RA-74747,Победа,Повреждение ВС,Аэродромно-производственное событие,Перрон 9,Внуково,Нет,Выявлено повреждение обшивки
334,2026-06-07,06:50,VQ-BGL,победа,Отклонение от регламента,АПС,Перрон 2,Внуково,Минимальные,Отклонение от установленной процедуры
335,07.06.2026,13:25,RA-75757,Уральские авиалинии,Посторонний предмет,Аэродромно-производственное событие,РД-3,Домодедово,Нет,Обнаружен предмет на территории
336,2026-06-10,18:40,VQ-BGM,Уральские авиалинии ,Повреждение ВС,АПС,Перрон 11,Шереметьево,Нет,Повреждение обнаружено после стоянки
337,2026-06-12,22:15,RA-76767,Аэрофлот,Нарушение процедуры,Аэродромно-производственное событие,Стоянка 6,Шереметьево,Незначительные,Нарушение порядка обслуживания
338,12.06.2026,0645,VQ-BGN,АЭРОФЛОТ,Отклонение от регламента,АПС,Перрон 4,Шереметьево,Минимальные,Выявлено несоответствие
339,2026-06-15,11:20,RA-77777,S7 Airlines,Повреждение ВС,Аэродромно-производственное событие,Перрон 10,Домодедово,Нет,Повреждение выявлено при осмотре
340,2026-06-17,17:45,VQ-BGO,C7,Посторонний предмет,АПС,Перрон 3,Внуково,Нет,Обнаружен инструмент
341,2026-06-19,09:10,RA-78787,Аэрофлот,Нарушение процедуры,Аэродромно-производственное событие,Перрон 7,Шереметьево,Минимальные,Нарушение требований безопасности
342,19.06.2026,1440,VQ-BGP,аэрофлот ,Повреждение ВС,АПС,Стоянка 10,Шереметьево,Нет,Обнаружено повреждение
343,2026/06/22,18:25,RA-79797,S7 Airlines,Отклонение от регламента,Аэродромно-производственное событие,РД-4,Домодедово,Нет,Выявлено отклонение
344,2026-06-24,23:10,VQ-BGQ,S7 airlines,Нарушение процедуры,АПС,Перрон 6,Шереметьево,Незначительные,Нарушение порядка работ
345,24.06.2026,06:35,RA-80808,Победа,Повреждение ВС,Аэродромно-производственное событие,Перрон 1,Внуково,Нет,Повреждение элемента конструкции
346,2026-06-27,12:50,VQ-BGR,Победаа,Посторонний предмет,АПС,Стоянка 5,Внуково,Нет,Обнаружен предмет возле ВС
347,27/06/2026,20:15,RA-81818,Россия,Нарушение процедуры,Аэродромно-производственное событие,Перрон 8,Шереметьево,Минимальные,Нарушение инструкции
348,2026-06-29,10:30,VQ-BGS,РОССИЯ ,Повреждение ВС,АПС,Перрон 4,Домодедово,Нет,Выявлено повреждение
349,29.06.2026,16.25,RA-82828,Aeroflot,Посторонний предмет,Аэродромно-производственное событие,Перрон 10,Шереметьево,Нет,Обнаружен объект
350,2026-07-01,21:45,VQ-BGT,Аэрофлoт,Нарушение процедуры,АПС,РД-2,Шереметьево,Незначительные,Нарушен порядок контроля
351,2026-07-03,08:35,RA-83838,S7 Airlines,Повреждение ВС,Аэродромно-производственное событие,Перрон 5,Домодедово,Нет,Обнаружено повреждение панели
352,03.07.2026,15:05,VQ-BGU,S7,Отклонение от регламента,АПС,Стоянка 9,Шереметьево,Минимальные,Несоответствие требованиям
353,2026/07/05,19:40,RA-84848,Победа,Посторонний предмет,Аэродромно-производственное событие,Перрон 12,Внуково,Нет,Обнаружен предмет
354,2026-07-07,07:20,VQ-BGV,победа,Нарушение процедуры,АПС,Перрон 2,Внуково,Незначительные,Нарушение порядка
355,07.07.2026,13:55,RA-85858,Уральские авиалинии,Повреждение ВС,Аэродромно-производственное событие,Перрон 7,Домодедово,Нет,Повреждение выявлено
356,2026-07-10,18:30,VQ-BGW,Уральские авиалинии ,Отклонение от регламента,АПС,Перрон 3,Шереметьево,Минимальные,Выявлено отклонение
357,2026-07-12,22:25,RA-86868,Аэрофлот,Посторонний предмет,Аэродромно-производственное событие,Стоянка 6,Шереметьево,Нет,Обнаружен объект
358,12.07.2026,0640,VQ-BGX,АЭРОФЛОТ,Нарушение процедуры,АПС,Перрон 4,Шереметьево,Незначительные,Нарушение процедуры
359,2026-07-15,11:15,RA-87878,S7 Airlines,Повреждение ВС,Аэродромно-производственное событие,Перрон 9,Домодедово,Нет,Повреждение корпуса
360,2026-07-17,17:35,VQ-BGY,C7,Посторонний предмет,АПС,Перрон 1,Внуково,Нет,Обнаружен предмет
361,2026-07-19,09:05,RA-88888,Аэрофлот,Отклонение от регламента,Аэродромно-производственное событие,РД-5,Шереметьево,Минимальные,Несоответствие процедуре
362,19.07.2026,1445,VQ-BGZ,аэрофлот,Повреждение ВС,АПС,Стоянка 8,Шереметьево,Нет,Выявлено повреждение
363,2026/07/22,18:20,RA-89898,S7 Airlines,Нарушение процедуры,Аэродромно-производственное событие,Перрон 5,Домодедово,Незначительные,Нарушение порядка
364,2026-07-24,23:00,VQ-BHA,S7 airlines,Посторонний предмет,АПС,Перрон 10,Шереметьево,Нет,Обнаружен объект
365,24.07.2026,06:25,RA-90909,Победа,Повреждение ВС,Аэродромно-производственное событие,Стоянка 3,Внуково,Нет,Повреждение после обслуживания
366,2026-07-27,12:40,VQ-BHB,Победаа,Отклонение от регламента,АПС,Перрон 6,Внуково,Минимальные,Выявлено отклонение
367,27/07/2026,20:20,RA-91919,Россия,Нарушение процедуры,Аэродромно-производственное событие,Перрон 8,Шереметьево,Незначительные,Нарушение инструкции
368,2026-07-29,10:45,VQ-BHC,РОССИЯ ,Повреждение ВС,АПС,Перрон 4,Домодедово,Нет,Обнаружено повреждение
369,29.07.2026,16.35,RA-92929,Aeroflot,Посторонний предмет,Аэродромно-производственное событие,Перрон 11,Шереметьево,Нет,Обнаружен объект
370,2026-08-01,21:55,VQ-BHD,Аэрофлoт,Нарушение процедуры,АПС,РД-1,Шереметьево,Минимальные,Нарушение порядка контроля
371,2026-08-03,08:25,RA-93939,S7 Airlines,Повреждение ВС,Аэродромно-производственное событие,Перрон 5,Домодедово,Нет,Повреждение выявлено
372,03.08.2026,15:10,VQ-BHE,S7,Отклонение от регламента,АПС,Стоянка 7,Шереметьево,Минимальные,Несоответствие требованиям
373,2026/08/05,19:35,RA-94949,Победа,Посторонний предмет,Аэродромно-производственное событие,Перрон 9,Внуково,Нет,Обнаружен объект
374,2026-08-07,07:15,VQ-BHF,победа,Нарушение процедуры,АПС,Перрон 2,Внуково,Незначительные,Нарушение процедуры
375,07.08.2026,13:45,RA-95959,Уральские авиалинии,Повреждение ВС,Аэродромно-производственное событие,Перрон 7,Домодедово,Нет,Выявлено повреждение
376,2026-08-10,18:25,VQ-BHG,Уральские авиалинии ,Посторонний предмет,АПС,Перрон 3,Шереметьево,Нет,Обнаружен предмет
377,2026-08-12,22:35,RA-96969,Аэрофлот,Нарушение процедуры,Аэродромно-производственное событие,Стоянка 6,Шереметьево,Незначительные,Нарушение порядка
378,12.08.2026,0645,VQ-BHH,АЭРОФЛОТ,Повреждение ВС,АПС,Перрон 4,Шереметьево,Нет,Обнаружено повреждение
379,2026-08-15,11:25,RA-97979,S7 Airlines,Отклонение от регламента,Аэродромно-производственное событие,РД-3,Домодедово,Минимальные,Выявлено отклонение
380,2026-08-17,17:40,VQ-BHI,C7,Посторонний предмет,АПС,Перрон 8,Внуково,Нет,Обнаружен объект
381,2026-08-19,09:20,RA-98989,Аэрофлот,Повреждение ВС,Аэродромно-производственное событие,Перрон 10,Шереметьево,Нет,Обнаружено повреждение после обслуживания
382,19.08.2026,14:35,VQ-BHJ,аэрофлот ,Нарушение процедуры,АПС,Стоянка 12,Шереметьево,Незначительные,Нарушение порядка проверки
383,2026/08/22,18:10,RA-99999,S7 Airlines,Посторонний предмет,Аэродромно-производственное событие,РД-4,Домодедово,Нет,Обнаружен посторонний объект
384,2026-08-24,23:25,VQ-BHK,S7 airlines,Отклонение от регламента,АПС,Перрон 6,Шереметьево,Минимальные,Выявлено несоответствие
385,24.08.2026,06:15,RA-10101,Победа,Повреждение ВС,Аэродромно-производственное событие,Перрон 1,Внуково,Нет,Повреждение элемента конструкции
386,2026-08-27,12:45,VQ-BHL,Победаа,Посторонний предмет,АПС,Стоянка 5,Внуково,Нет,Обнаружен инструмент
